0	go to "shortlist" or 'fri jun 15'
1	select 'fri jun 15' 
2	open "fri jun 15" 
3	previous month
4	long press the previous month 
5	tap "previous month" button 
6	long press the 'next month' 
7	select the next month button 
8	choose to "next month" in the right
9	done
10	choose done at the bottom right corner
11	choose to a done 
12	long press the "forward" 
13	select the forward 
14	entering "forward" in the bottom right corner
15	entering backwards 
16	going the 'backwards' button 
17	choose the 'backwards' in the bottom left corner
18	long click back button 
